unixtime,mouseX,mouseY,collision,mode,birdX,birdY
201710111757387947,68,183,0,sin_mode,0,675
201710111757387984,68,183,0,sin_mode,0,675
201710111757388025,68,183,0,sin_mode,0,675
201710111757388062,68,183,0,sin_mode,0,675
201710111757388101,68,183,0,sin_mode,0,675
201710111757388141,68,183,0,sin_mode,0,675
201710111757388178,68,183,0,sin_mode,0,675
201710111757388214,68,183,0,sin_mode,0,675
201710111757398261,68,183,0,sin_mode,0,675
201710111757398298,68,183,0,sin_mode,0,675
201710111757398338,68,183,0,sin_mode,0,675
201710111757398375,68,183,0,sin_mode,0,675
201710111757398412,68,183,0,sin_mode,0,675
201710111757398452,68,183,0,sin_mode,0,675
201710111757398488,68,183,0,sin_mode,0,675
201710111757398520,74,382,0,sin_mode,0,675
201710111757398549,74,382,0,sin_mode,0,675
201710111757398572,74,382,0,sin_mode,0,675
201710111757398600,74,382,0,sin_mode,0,675
201710111757398626,74,382,0,sin_mode,0,675
201710111757398649,74,382,0,sin_mode,0,675
201710111757398688,74,382,0,sin_mode,0,675
201710111757398731,74,382,0,sin_mode,0,675
201710111757398769,74,382,0,sin_mode,0,675
201710111757398810,74,382,0,sin_mode,0,675
201710111757398848,74,382,0,sin_mode,0,675
201710111757398886,74,382,0,sin_mode,0,675
201710111757398927,74,382,0,sin_mode,0,675
201710111757398964,74,382,0,sin_mode,0,675
201710111757399002,74,382,0,sin_mode,0,675
201710111757399041,74,382,0,sin_mode,0,675
201710111757399082,74,382,0,sin_mode,0,675
201710111757399120,74,382,0,sin_mode,0,675
201710111757399157,74,382,0,sin_mode,0,675
201710111757399196,74,382,0,sin_mode,0,675
201710111757409235,74,382,0,sin_mode,0,675
201710111757409281,74,382,0,sin_mode,0,675
201710111757409326,74,382,0,sin_mode,0,675
201710111757409361,671,60,0,sin_mode,0,675
201710111757409395,740,126,0,sin_mode,0,675
201710111757409426,726,137,0,sin_mode,0,675
201710111757409459,726,137,0,sin_mode,0,675
201710111757409494,922,612,0,sin_mode,0,675
201710111757409531,976,709,0,sin_mode,0,675
201710111757409567,976,709,0,sin_mode,0,675
201710111757409604,976,709,0,sin_mode,0,675
201710111757409644,976,709,0,sin_mode,0,675
201710111757409681,976,709,0,sin_mode,0,675
201710111757409721,976,709,0,sin_mode,0,675
201710111757409757,976,709,0,sin_mode,0,675
201710111757409793,976,709,0,sin_mode,0,675
201710111757409825,976,709,0,sin_mode,0,675
201710111757409861,976,709,0,sin_mode,0,675
201710111757409892,976,709,0,sin_mode,0,675
201710111757409936,976,709,0,sin_mode,0,675
201710111757409969,976,709,0,sin_mode,0,675
201710111757409998,976,709,0,sin_mode,0,675
2017101117574010031,976,709,0,sin_mode,0,675
2017101117574010062,1102,616,0,sin_mode,0,675
2017101117574010095,1579,189,0,sin_mode,0,675
2017101117574010116,1585,175,0,sin_mode,0,675
2017101117574010143,1562,174,0,sin_mode,0,675
2017101117574010175,1547,184,0,sin_mode,0,675
2017101117574010206,1531,171,0,sin_mode,0,675
2017101117574110237,1469,162,0,sin_mode,0,675
2017101117574110266,1469,162,0,sin_mode,0,675
2017101117574110297,1339,129,0,sin_mode,0,675
2017101117574110329,1276,138,0,sin_mode,0,675
2017101117574110361,1398,312,0,sin_mode,0,675
2017101117574110393,1365,229,0,sin_mode,0,675
2017101117574110427,1294,166,0,sin_mode,0,675
2017101117574110460,1294,166,0,sin_mode,0,675
2017101117574110495,1309,81,0,sin_mode,0,675
2017101117574110520,1247,265,0,sin_mode,0,675
2017101117574110552,1186,414,0,sin_mode,0,675
2017101117574110581,1111,338,0,sin_mode,0,675
2017101117574110603,1127,422,0,sin_mode,0,675
2017101117574110629,1135,467,0,sin_mode,0,675
2017101117574110661,1135,467,0,sin_mode,0,675
2017101117574110694,1236,456,0,sin_mode,0,675
2017101117574110716,1168,626,0,sin_mode,0,675
2017101117574110746,1152,574,0,sin_mode,0,675
2017101117574110772,1158,489,0,sin_mode,0,675
2017101117574110798,1158,489,0,sin_mode,0,675
2017101117574110831,1158,489,0,sin_mode,0,675
2017101117574110866,1113,368,0,sin_mode,0,675
2017101117574110900,1099,351,0,sin_mode,0,675
2017101117574110931,1184,390,0,sin_mode,0,675
2017101117574110964,1105,323,0,sin_mode,0,675
2017101117574110997,1094,324,0,sin_mode,0,675
2017101117574111029,1109,302,0,sin_mode,0,675
2017101117574111061,1109,302,0,sin_mode,0,675
2017101117574111092,1103,281,0,sin_mode,0,675
2017101117574111126,1119,302,0,sin_mode,0,675
2017101117574111154,1119,302,0,sin_mode,0,675
2017101117574111176,1135,312,0,sin_mode,0,675
2017101117574111206,1145,311,0,sin_mode,0,675
2017101117574211236,1147,305,0,sin_mode,0,675
2017101117574211262,1147,305,0,sin_mode,0,675
2017101117574211289,1149,299,0,sin_mode,0,675
2017101117574211317,1159,294,0,sin_mode,0,675
2017101117574211347,1163,301,0,sin_mode,0,675
2017101117574211372,1140,125,0,sin_mode,0,675
2017101117574211403,1152,227,0,sin_mode,0,675
2017101117574211436,1172,189,0,sin_mode,0,675
2017101117574211457,1172,189,0,sin_mode,0,675
2017101117574211478,1172,209,0,sin_mode,0,675
2017101117574211514,1182,202,0,sin_mode,0,675
2017101117574211544,1175,204,0,sin_mode,0,675
